Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,Origin,Dest,Distance,FlightDelayPredict
2008,1,3,4,2003,1955,2211,2225,WN,335,N712SW,IAD,TPA,810,0
2008,1,3,4,754,735,1002,1000,WN,3231,N772SW,IAD,TPA,810,0
2008,1,3,4,628,620,804,750,WN,448,N428WN,IND,BWI,515,0
2008,1,3,4,1829,1755,1959,1925,WN,3920,N464WN,IND,BWI,515,1
2008,1,3,4,1940,1915,2121,2110,WN,378,N726SW,IND,JAX,688,0
2008,1,3,4,1937,1830,2037,1940,WN,509,N763SW,IND,LAS,1591,1
2008,1,3,4,706,700,916,915,WN,100,N690SW,IND,MCO,828,0
2008,1,3,4,1644,1510,1845,1725,WN,1333,N334SW,IND,MCO,828,1
2008,1,3,4,1029,1020,1021,1010,WN,2272,N263WN,IND,MDW,162,0
2008,1,3,4,1452,1425,1640,1625,WN,675,N286WN,IND,PHX,1489,1
2008,1,3,4,754,745,940,955,WN,1144,N778SW,IND,PHX,1489,0
2008,1,3,4,1323,1255,1526,1510,WN,4,N674AA,IND,TPA,838,1
2008,1,3,4,1416,1325,1512,1435,WN,54,N643SW,ISP,BWI,220,1
2008,1,3,4,1657,1625,1754,1735,WN,623,N724SW,ISP,BWI,220,1
2008,1,3,4,1900,1840,1956,1950,WN,717,N786SW,ISP,BWI,220,0
2008,1,3,4,1039,1030,1133,1140,WN,1244,N714CB,ISP,BWI,220,0
2008,1,3,4,1520,1455,1619,1605,WN,2553,N394SW,ISP,BWI,220,0
2008,1,3,4,1422,1255,1657,1610,WN,188,N215WN,ISP,FLL,1093,1
2008,1,3,4,1954,1925,2239,2235,WN,1754,N243WN,ISP,FLL,1093,0
2008,1,3,4,2107,1945,2334,2230,WN,362,N798SW,ISP,,972,1
2008,1,3,4,1312,1300,1546,1550,WN,1397,N247WN,ISP,MCO,972,0
2008,1,3,4,1449,1430,1715,1720,WN,3398,N707SA,ISP,MCO,972,0
2008,1,3,4,1634,1555,1859,1845,WN,3480,N443WN,ISP,MCO,972,0
2008,1,3,4,1812,1650,1927,1815,WN,422,N779SW,ISP,MDW,765,1
2008,1,3,4,1127,1105,1235,1230,WN,1837,N704SW,ISP,MDW,765,0
2008,1,3,4,1424,1355,1531,1520,WN,2871,N709SW,ISP,MDW,765,0
2008,1,3,4,1326,1230,1559,1530,WN,1056,N459WN,ISP,PBI,1052,1
2008,1,3,4,1749,1725,2019,2030,WN,2175,N621SW,ISP,PBI,1052,0
2008,1,3,4,726,720,958,1020,WN,3319,N206WN,ISP,PBI,1052,0
2008,1,3,4,646,640,929,955,WN,3667,N280WN,ISP,RSW,1101,0
2008,1,3,4,1153,1140,1428,1440,WN,2006,N241WN,ISP,TPA,1034,0
2008,1,3,4,1528,1510,1802,1810,WN,3858,N200WN,ISP,TPA,1034,0
2008,1,3,4,1450,1435,1806,1745,WN,3244,N475WN,JAN,BWI,888,1
2008,1,3,4,2245,1730,2354,1850,WN,186,N792SW,,HOU,359,1
2008,1,3,4,2025,1940,2135,2100,WN,3154,N252WN,JAN,HOU,359,1
2008,1,3,4,1038,945,1314,1225,WN,1035,N346SW,JAN,MCO,587,1
2008,1,3,4,1900,1850,2123,2045,WN,205,N299WN,JAN,MDW,666,1
2008,1,3,4,948,925,959,940,WN,3430,N487WN,JAX,BHM,365,1
2008,1,3,4,646,620,725,655,WN,1580,N243WN,JAX,BNA,484,1
2008,1,3,4,1110,1040,1136,1110,WN,2195,N479WN,JAX,BNA,484,1
2008,1,3,4,2139,2130,2244,2240,WN,378,N726SW,JAX,FLL,318,0
2008,1,3,4,1738,1730,1841,1840,WN,3948,N467WN,JAX,FLL,318,0
2008,1,3,4,1813,1735,1936,1905,WN,54,N643SW,JAX,HOU,816,1
2008,1,3,4,802,750,1001,955,WN,2272,N263WN,JAX,IND,688,0
2008,1,3,4,1734,1650,1941,1905,WN,23,N521SW,JAX,PHL,742,1
2008,1,3,4,712,700,926,915,WN,1232,N663SW,JAX,PHL,742,0
2008,1,3,4,1318,1310,1410,1400,WN,977,N376SW,JAX,TPA,180,0
2008,1,3,4,958,900,1052,950,WN,1574,N791SW,JAX,TPA,180,1
2008,1,3,4,1859,1850,1950,1945,WN,2019,N392SW,JAX,TPA,180,0
2008,1,3,4,1538,1445,1753,1710,WN,500,N799SW,LAS,ABQ,487,1
2008,1,3,4,2248,2125,102,2345,WN,890,N618WN,LAS,ABQ,487,1
2008,1,3,4,1327,1230,1550,1500,WN,1171,N682SW,LAS,ABQ,487,1
2008,1,3,4,1614,1600,1833,1825,WN,1925,N509SW,LAS,ABQ,487,0
2008,1,3,4,1832,1655,148,30,WN,302,N473WN,LAS,ALB,2237,1
2008,1,3,4,1229,1155,1633,1555,WN,1079,N351SW,LAS,AMA,758,1
2008,1,3,4,1256,1240,1724,1720,WN,155,N238WN,LAS,AUS,1090,0
2008,1,3,4,2118,2015,144,50,WN,2021,N499WN,LAS,AUS,1090,1
2008,1,3,4,905,850,1334,1330,WN,3222,N309SW,LAS,AUS,1090,0
2008,1,3,4,1739,1640,114,25,WN,1018,N245WN,LAS,BDL,2298,1
